artifact_id,text,evidence_type,timestamp,gold_controls,gold_rationale,auditor_id,predicted_controls,accept_reject,accuracy_value
2240,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T21:00:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k1,AC-7;AU-6,accept,1.0
2241,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T21:03:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k2,SC-28;SC-12,accept,1.0
2242,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T21:06:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k3,AU-8,accept,1.0
2243,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T21:09:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k4,SC-5;SC-7,accept,1.0
2244,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T21:12:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k5,SC-8;SC-13,accept,1.0
2245,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T21:15:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k1,CM-3,accept,0.5
2246,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T21:18:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k2,AC-7;AU-6,accept,1.0
2247,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T21:21:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k3,SC-28;SC-12,accept,1.0
2248,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T21:24:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k4,AU-8,accept,1.0
2249,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T21:27:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k5,SC-5;SC-7,accept,1.0
